Este(m);Norte(m);Cota(m);Al(%);Fe(%);Campana
6794.65;1622.12;1244.86;0.38;32.86;CHIST
6600.01;1565.43;1337.55;1.12;32.14;CHIST
6599.92;1569.91;1329.84;1.87;42.66;CHIST
6599.81;1575.06;1321.27;1.61;45.95;CHIST
6599.6;1580.21;1312.69;1.15;44.62;CHIST
6599.42;1583.67;1306.93;1.02;43.92;CHIST
6599.23;1586.46;1302.28;1.42;36.98;CHIST
6598.87;1590.92;1294.82;0.91;36.72;CHIST
6598.34;1596.04;1286.25;1.52;40.37;CHIST
6598.02;1598.78;1281.66;1.52;40.37;CHIST
6597.66;1601.51;1277.08;0.75;34.73;CHIST
6596.9;1606.61;1268.51;0.49;30.61;CHIST
6596.25;1610.34;1262.21;0.48;29.42;CHIST
6595.61;1613.53;1256.78;0.51;29.67;CHIST
6594.63;1618.05;1249.09;0.34;37.3;CHIST
6593.72;1621.9;1242.51;0.27;34.7;CHIST
6800.88;1466.39;1282.39;0.58;39.58;CHIST
6801.96;1477.61;1266.15;0.56;64;CHIST
6803.57;1491.7;1247.51;0.4;53.49;CHIST
6804.42;1498.63;1238.97;0.19;68.59;CHIST
6805.09;1503.95;1232.71;0.3;68.72;CHIST
6805.64;1508.15;1227.84;0.64;53.74;CHIST
6806.35;1513.58;1221.74;0.99;63.35;CHIST
6807.22;1520.09;1214.6;0.75;61.9;CHIST
6808.02;1526.12;1208.14;0.4;37.97;CHIST
6808.75;1531.57;1202.47;0.39;36.92;CHIST
6809.53;1537.07;1196.92;0.51;33.56;CHIST
6649.97;1344.96;1336.76;1.4;57.73;CNEW
6649.97;1339.96;1328.1;1.54;55.91;CNEW
6649.97;1336.82;1322.66;1.07;54.7;CNEW
6649.97;1333.68;1317.21;0.68;47.12;CNEW
6649.97;1330.7;1312.06;0.68;47.12;CNEW
6649.97;1328.45;1308.17;1.45;62.36;CNEW
6649.97;1324.51;1301.34;1.28;53.73;CNEW
6649.97;1319.84;1293.25;2.53;40.23;CNEW
6649.97;1314.84;1284.59;1.16;36.12;CNEW
6649.97;1311.64;1279.04;0.65;39.04;CNEW
6649.97;1308.66;1273.89;0.14;41.75;CNEW
